estudiar:to study
trabajar:to work
el ruso:male Russian
la rusa:female Russian
ruso:russian (adj)
el holandés:male Dutch
la holandesa:female Dutch
holandés:dutch (adj)
el inglés:male English
la inglesa:female English
inglés:english (adj)
el francés:male french
la francesa:female french
francés:french (adj)
el español:male spanish
la española:female spanish
español:spanish (adj)
vivir:to live
la calle:street
la lengua:language
un poco de:a bit of
el teléfono móvil:mobile phone
la dirección:address
la dirección:direction
el arroba:@
el punto:.
el punto interrogativo:question mark
en el norte de:in the north of
en el sur de:in the south of
en el oeste de:in the west of
en el este de:in the east of
en el centro de:in the center of
en la costa de:on the coast of
querer:to want
querer:to love
querer:to like
necesitar:to need
tener que:to have to
muy:very
utiles:useful
usar:to use
muchisimo:very much
ver:to see
transformar:to transform
transformarse:to be transformed
esto:this
pasar:happen
igual:equal
igual:same
el verbo:the verb
pensar:to think
sentir:to feel
perder:to lose (stuff)
perder:to lose (a game)
la obligación:duty
la obligación:obligation
ir:to go
siguiente:next
siguiente:following
la frase:sentence
la frase:phrase
comprar:to buy
la casa:home, house
nuevo:new
el cine:cinema
la playa:beach
tomar:take (bus, metro, tren)
tomar:take (grab)
tomar:take (medication)
tomar:take (eat/drink)
el tren:train
salir:to go out
salir:leave
la noche:night
ir de compras:to go shopping
la mañana:tomorrow
la mañana:morning
hacer:to do
la compra:the purchase
cambiar:to change
el móvil:cellphone
móvil:mobile (adj)
visitar:to visit
venir:to come
el momento:moment
la ayuda:help
la ayuda:aid
el mano:hand
hablar:to speak
hablar:to talk
aprender:to learn
bien:well
bien:good
la vacación:vacation
la vacación:holiday
las vacaciónes:vacations
el café:coffee
la leche:milk
el periodista:journalist (m)
la periodista:journalist (f)
la nacionalidad:nationality
la profesión:profession
el profesor:professor
el profesor:teacher
el ingeniero:engineer
el político:politician (m)
la política:politician (f)
la política:politics
alto:high
alto:tall
moreno:dark-skinned
moreno:dark-haired
rubio:blond (adj)
el rubio:blonde man
la rubia:blonde woman
informático:computer scientist
el programador:programmer
el ordenador:computer
los Estados Unidos:USA
los Estados Unidos de América:USA
la Alemania:Germany
la secretaría:secretary
expresar:to express
los deberes:homework
los deberes:duties
el deber:duty
el uso:use
mucho:a lot of
mucho:much
mucho:many
la posesión:posession (place)
la posesión:posession (having sth)
el hijo:son
la hija:daughter
la familia:family
la madre:mother
el padre:father
la abuela:grandmother
el abuelo:grandfather
los padres:parents
el amigo:friend (m)
la amiga:friend (f)
los amigos:friends
la edad:age
el sobrino:nephew
la sobrina:niece
el coche:car
suficiente:enough
el dinero:money
el dinero en efectivo:cash
el efectivo:cash
la cena:dinner (late)
la cena:supper
la semana:week
próximo:next
la Belgicá:Belgium
la clase:class (physics), lecture
la clase:kind (v)
la clase:classroom, lecture room
lo mismo:the same thing
mismo:same
el hermano:brother
la hermana:sister
el médico:doctor (m)
la médica:doctor (f)
médico:medical
la experiencia:experience
lo siento:I'm sorry
cerrar:to close
cerca:close
lejos:far
el jefe:boss (m)
la jefa:boss (f)
el chalet:house
el bolígrafo:pen
el piso:floor (1st, 2nd)
el piso:floor (ground)
la habitación:room
la habitación:bedroom
el lugar:place, location
el cuarto:quarter
el cuarto:room
el cuarto:quarter (15 minutes)
el cuarto de baño:bathroom
el baño:bathroom
el baño:bathtub
bastante:enough
bastante:quite
pequeño:small
pequeño:little
la cocina:kitchen
la cocina:stove
pero:but
para (mí):for (me)
lo que me gusta:what I like
la terraza:terrace
la terraza:roof
eso:that
por:because of
por:by (place)
la luz:the light
el dormitorio:bedroom
más grande:biggest
el piso:apartment
la puerta:door
al final de:at the end of
el pasillo:corridor
el pasillo:hall
el pasillo:aisle (in store)
la cama:bed
al lado de:beside
hay:be-exist
la lámpara:lamp
no muy grande:not very big
a la derecha de:to the right of
a la izquierda de:to the left of
la ventana:window
enfrente de:in front of
delante de:in front of
el armario:wardrobe
el cajon:drawer
la ropa:clothes
entre:between
la mesilla:small table
la mesilla de noche:nightstand
la mesa:table
sobre:on
otro:another
otro vez:again
decir:say
decir:tell
el libro:book
el plato:plate
en:on
la pared:wall
las paredes:walls
el cuadro:painting
el cuadro:picture
el cuadro:square
el póster:poster
debajo de:under
el zapato:shoe
desayunar:to eat breakfast
el desayuno:breakfast
comer:to eat lunch
comer:to eat
almorzar:to eat lunch
el almuerzo:lunch
cenar:to eat dinner
la cena:dinner
también:too (also)
agradable:nice
normalmente:normally
normalmente:usually
la tostada:toast
el fin de semana:weekend
el fin:end
fuerte:strong
la ventura:happiness
la ventura:luck
la suerte:luck
ligero:light (adj)
ligero:thin
el país:country
la gente:people
a las ocho:at eight
de la mañana:in the morning
los cereales:cereal
la fruta:fruit
el fruto:fruit
nunca:never
a las doce de mediodía:at twelve noon
el mediodía:noon
en casa:at home
en el trabajo:at work
a la una:at one
temprano:early
pronto:early
pronto:quick
pronto:fast
a las seis de la tarde:at six in the evening
a veces:sometimes
la escuela:school
tarde:late
tardo:slow
a las nueve y media:at nine thirty
o:or
la sopa:soup
la ensalada:salad
siempre:always
demasiado:too (good)
demasiado:too much
el tenedor:fork
la cuchara:spoon
el cuchillo:knife
el té:tea
durante:during
cuando:when
la comida:food
la comida:meal
la medicina:medicine
la medicina:medication (pills etc.)
la botella:bottle
detrás de:behind
encima:on
encima:on top
encima:above
el reloj:a watch
el reloj:a clock
meter:to put
sin:without
el radiador:radiator
el lunes:Monday
el martes:Tuesday
el miercoles:Wednesday
el jueves:Thursday
el viernes:Friday
el sábado:Saturday
el domingo:Sunday
hoy:today
el invierno:winter
la primavera:spring
el verano:summer
el otoño:fall (season)
el otoño:autumn
enero:January
febrero:February
marzo:March
abril:April
mayo:May
junio:June
julio:July
agosto:August
septiembre:September
octubre:October
noviembre:November
deciembre:December
dos de marzo de 2017:March 2, 2017
estupendo:great
estupendo:wonderful
fatal:terrible, awful
fenomenal:phenomenal
ver la televisión:to watch TV
encantar:to love
gustar:to like
molestar:to bother
molestar:to interrupt
molestar:to get annoyed
el asco:disgust
el miedo:fear
la risa:laughter
la pena:shame
la pena:pity
la rabia:anger
la grima:disgust
a mi me da asco:it disgusts me
a ti te da asco: it disgusts you
a él le da asco: it disgusts him
a ella le da asco: it disgusts her
a nosotros nos dan asco:it disgusts us
a vosotros os dan asco:it disgusts you (plural)
a ellos les dan asco:it disgusts you (plural)
a ellas les dan asco:it disgusts you (plural)
dar asco:to disgust sb
dar miedo:to frighten sb
dar risa:to make sb laugh
dar pena:to make sb ashamed
dar rabia:to make sb angry
dar grima:to disgust sb
nervioso:nervous
triste:sad
de buen humor:in a good mood
de mal humor:in a bad mood
poner negro:to make sb angry
poner:to put
la llave:a key
la llave:a tap, a faucet
la llave:a switch (e.g. light switch)
me pone nervioso:makes me mad
te pone triste:makes you sad
le pone de buen humor:makes him/her be in a good mood
nos ponen de mual humor: makes us be in a bad mood
os ponen negro:makes you (plural) angry
cinco menos cuarto:quarter to five
despartarse:to wake up
levantarse:to get up
volver:to return, to be back
vuelvo a casa:I return home
vuelvo, vuelves, vuelve, volvemos, volves, vuelven:return (conjugation)
acostarse:to go to bed
dormirse:to fall alseep
dormir:sleep
duermo, duermes, duerme, dormimos, dormís, duermen:dormir (conjugation)
tirar:to throw away
tirar:to throw
la maquinilla:the razor
la maquinilla eléctrica:the electric shaver
la maquinilla de usar y tirar:disposable razor
afeitarse:to shave
rápidamente:quickly
lentamente:slowly
con tranquilidad:calmly
cada día:every day
cada dos/tres días:every two/three days
las noticias:the news
el periódico:a newspaper
la revista:a magazine
la carne:the meat
la verdura:a vegetable
la oficina:the office
